时间戳     方位       距离        俯仰       高度         速度
1475912    9.8687     545.25      3.0605     29.1113      1.6382
1475912    13.4911    1435.15     2.3352     58.4774      11.7406
1478700    13.1676    1409.47     2.6960     66.2970      11.4676
1481488    14.5828    1457.50     -0.5372    -13.6642     2.1843
1481488    14.5574    1534.79     -0.6384    -17.1003     -0.8191
1481488    13.2769    1367.49     3.6846     87.8798      12.0136
1484276    13.7093    1337.55     3.9367     91.8285      12.0136
1484276    16.0340    10696.50    7.6500     1423.9300    -60.8873
1487064    13.3354    1297.84     4.3075     97.4807      11.7406
1487064    15.8909    2160.81     13.4350    502.0460     3.2764
1489852    13.4625    1269.99     4.0839     90.4453      12.0136
1489852    12.4096    1267.48     6.1065     134.8310     12.0136
1492640    13.1788    1239.57     4.0963     88.5459      12.0136
1495428    13.4880    1198.92     3.8578     80.6632      12.0136
1498216    13.3453    1170.52     3.7228     76.0014      12.0136
1501004    15.4249    836.01      -2.4003    -35.0136     0.8191
1501004    13.4330    1129.80     4.1449     81.6613      12.0136
1503792    13.4098    1100.83     4.4481     85.3754      12.0136
1506580    13.4504    1071.92     5.0250     93.8891      12.0136
1509368    13.4461    1031.69     5.0160     90.2052      12.0136
1512156    13.2921    1002.56     5.0553     88.3430      12.0136
1514944    13.2557    962.21      4.7929     80.3961      12.0136
1514944    12.9689    2369.73     11.5504    474.4910     3.2764
1517732    13.3476    932.96      5.2679     85.6569      12.0136
1520520    14.6081    1869.96     -0.5855    -19.1079     0.8191
1520520    13.4244    904.06      6.0862     95.8530      11.7406
1520520    13.3339    903.22      5.7218     90.0488      11.7406
1523308    13.2267    863.89      6.1559     92.6380      12.0136
1523308    13.5304    863.39      5.4459     81.9407      12.0136
1526096    13.2603    834.82      5.5695     81.0210      12.0136
1526096    13.2895    834.10      5.7563     83.6585      12.0136
1528884    14.7219    1435.92     -0.5105    -12.7944     -0.8191
1528884    14.5208    1459.32     -0.6005    -15.2956     -1.3652
1528884    14.5458    1484.05     -0.6021    -15.5955     1.3652
1528884    13.3199    794.73      6.4202     88.8668      12.0136
1528884    13.2691    794.25      6.6161     91.5108      12.0136
1531672    14.7491    1486.64     -0.4987    -12.9392     0.8191
1531672    14.6108    1510.71     -0.6084    -16.0410     -0.8191
1531672    13.3313    765.33      7.0442     93.8559      12.0136
1531672    13.2788    765.50      6.8095     90.7635      12.0136
1534460    13.2706    735.96      6.4139     82.2147      12.0136
1534460    13.4496    736.45      6.6870     85.7552      12.0136
1537248    13.3050    696.22      7.7321     93.6704      11.7406
1537248    13.3052    695.76      7.5053     90.8784      11.7406
1540036    13.1543    667.48      6.8925     80.1020      11.7406
1540036    13.2560    666.90      7.2987     84.7250      11.7406
1542824    13.3185    627.03      8.7363     95.2375      11.7406
1542824    13.1965    626.69      8.4315     91.8896      11.7406
1545612    13.3129    596.97      7.5824     78.7714      11.7406
1545612    13.1495    597.69      8.1555     84.7890      11.7406
1545612    13.9757    2754.50     7.2890     349.4740     2.1843
1548400    13.4931    567.91      8.7566     86.4566      12.0136
1551188    13.2249    527.88      9.2199     84.5782      11.7406
1553976    13.1920    499.47      10.0358    87.0388      11.7406
1556764    13.3189    458.96      10.4390    83.1584      11.7406
1556764    12.8737    2465.67     10.6250    454.6210     3.2764
1556764    13.7557    471.38      11.4911    93.9055      11.0853
1559552    13.2638    430.69      11.1821    83.5218      11.7406
1559552    13.0616    430.58      11.6416    86.8868      11.0853
1562340    13.4671    402.63      11.8696    82.8146      11.7406
1562340    16.3842    2730.44     7.8332     372.1300     3.5495
1562340    12.9963    401.89      12.2304    85.1389      11.0853
1565128    15.5160    745.88      -4.4342    -57.6673     -3.5495
1565128    13.1874    362.13      12.7902    80.1684      11.7406
1565128    13.7829    362.30      13.1162    82.2156      11.0853
1567916    16.2482    719.91      -4.6739    -58.6612     -3.8225
1567916    13.5149    335.58      13.7879    79.9773      11.7406
1567916    13.1127    334.34      13.8106    79.8105      11.0853
1570704    13.2362    305.78      15.2161    80.2554      11.0853
1573492    13.5245    265.23      17.0428    77.7336      11.0853
1573492    12.3454    265.73      16.7828    76.7284      9.0492
1576280    13.8648    233.51      18.3982    73.6993      11.0853
1576280    13.2053    234.23      18.5120    74.3688      13.5738
1576280    12.3713    311.22      18.4405    98.4453      13.5738
1576280    12.8602    332.90      20.2486    115.2140     9.0492
1579068    14.7694    1413.02     -0.6677    -16.4663     0.8191
1579068    13.4606    208.17      20.0853    71.4879      9.0492
1579068    12.5824    208.26      22.6800    80.3017      11.5172
1590220    16.5209    788.42      31.9423    417.1250     63.3446
1590220    15.2208    790.97      31.6973    415.6020     63.3446
1593008    14.9786    1821.17     -0.5901    -18.7568     -0.8191
1595796    14.7286    1820.90     -0.6011    -19.1034     0.8191
1595796    13.9377    1844.16     -0.5146    -16.5632     -0.8191
1606948    17.8671    643.40      -5.1295    -57.5254     3.5495
1606948    14.2692    1869.16     -0.5645    -18.4138     -1.0921
