序号,波位号,北斗时间戳,时间戳(ms),方位(度),距离(m),俯仰(度),高度(m),径向速度(m/s),信噪比,RCS,宽窄脉冲(0宽1窄),俯仰波束,本波位目标数,是否有效点
14999,7,1476732,1476732,38.7199,10718.80,-0.0763,-14.27,0.5461,54,1.000000e+02,0,0,18,1
15000,7,1476732,1476732,41.3327,4864.54,3.9710,336.88,1.6382,20,7.566440e+00,0,1,18,1
15001,8,1476896,1476896,46.6864,476.55,0.5788,4.81,-32.4914,10,2.024510e-06,1,0,17,1
15002,8,1476896,1476896,44.2478,600.89,-2.9330,-30.75,22.3890,25,3.349950e-04,1,0,17,1
15003,8,1476896,1476896,44.5063,615.61,-2.7773,-29.83,3.8225,24,2.681680e-04,1,0,17,1
15004,8,1476896,1476896,46.4098,767.53,-1.7127,-22.94,1.0921,32,3.234670e-03,1,0,17,1
15005,8,1476896,1476896,44.6085,1249.89,-1.1602,-25.31,-0.8191,51,2.379560e+00,1,0,17,1
15006,8,1476896,1476896,49.0325,1265.61,-1.3298,-29.37,-0.5461,62,6.146770e+01,1,0,17,1
15007,8,1476896,1476896,44.9085,1365.43,-1.0958,-26.11,-8.1911,20,5.020540e-03,1,0,17,1
15008,8,1476896,1476896,43.5595,1916.42,-0.8523,-28.51,0.8191,42,1.038030e+01,1,0,17,1
15009,8,1476896,1476896,41.6319,2134.79,0.8090,30.14,-39.3173,10,6.090060e-03,1,0,17,1
15010,8,1476896,1476896,47.7327,5080.93,-0.0629,-5.58,-0.5461,55,1.000000e+02,0,0,17,1
15011,8,1476896,1476896,42.2567,5157.13,-0.2880,-25.93,0.5461,50,1.000000e+02,0,0,17,1
15012,8,1476896,1476896,47.6321,5804.10,-0.5022,-50.87,-41.5016,11,3.419660e+00,0,0,17,1
15013,8,1476896,1476896,45.4695,10607.90,-0.1894,-35.07,0.5461,51,1.000000e+02,0,0,17,1
15014,8,1476896,1476896,44.4644,10773.60,-1.8418,-346.27,0.8191,18,1.000000e+02,0,0,17,1
15015,8,1476896,1476896,44.6248,10822.00,0.2199,41.53,-1.3652,23,1.000000e+02,0,0,17,1
15016,8,1476896,1476896,48.2228,4507.25,3.1212,245.41,-6.8259,17,5.445330e+00,0,1,17,1
15017,8,1476896,1476896,44.5082,1607.48,9.2400,258.11,-1.3652,18,4.273010e-03,1,2,17,1
15018,9,1477060,1477060,50.2713,1149.27,12.7180,253.01,-1.3652,15,3.233000e-04,1,2,1,1
15019,10,1477224,1477224,55.2445,2087.83,-0.8420,-30.68,-1.0921,34,2.045230e+00,1,0,4,1
15020,10,1477224,1477224,55.8215,2156.40,-0.4991,-18.79,-2.1843,22,1.218100e-01,1,0,4,1
15021,10,1477224,1477224,54.5153,2253.53,0.6801,26.75,-9.2833,15,3.576290e-02,1,0,4,1
15022,10,1477224,1477224,54.4303,2681.66,-0.3458,-16.18,1.0921,44,9.006970e+01,0,0,4,1
15023,11,1477388,1477388,58.1124,376.98,-4.6621,-30.64,8.1911,26,3.041050e-05,1,0,5,1
15024,11,1477388,1477388,60.2354,888.55,-1.4330,-22.22,19.1126,23,1.143720e-03,1,0,5,1
15025,11,1477388,1477388,56.1782,956.42,-1.4399,-24.03,0.8191,38,1.760990e-01,1,0,5,1
15026,11,1477388,1477388,57.5590,2514.83,-0.4970,-21.82,-1.0921,39,4.565390e+01,0,0,5,1
15027,11,1477388,1477388,60.3403,4817.17,9.9453,831.97,29.4880,34,1.000000e+02,0,2,5,1
15028,12,1477552,1477552,67.8349,3328.55,0.4806,27.92,1.3652,28,1.250000e+01,0,0,2,1
15029,12,1477552,1477552,60.2512,4792.55,9.7861,814.59,29.4880,27,4.559740e+01,0,2,2,1
15030,13,1477716,1477716,74.7781,5201.05,5.8910,533.81,-3.8225,20,2.161740e+01,0,2,2,1
15031,13,1477716,1477716,72.5654,5148.37,19.5932,1726.46,104.0660,24,3.557260e+01,0,4,2,1
15032,14,1477880,1477880,74.3828,5202.16,6.7598,612.34,-3.0034,16,1.317570e+01,0,2,3,1
15033,14,1477880,1477880,75.8322,4991.10,19.5583,1670.85,104.0660,23,3.299850e+01,0,4,3,1
15034,14,1477880,1477880,73.7700,5175.88,19.1011,1693.73,104.0660,23,3.816310e+01,0,4,3,1
15035,15,1478044,1478044,82.8474,1171.15,-1.7365,-35.49,-1.0921,45,1.041570e+00,1,0,3,1
15036,15,1478044,1478044,80.2434,2256.40,-1.7582,-69.23,-14.1979,18,5.005470e-02,1,0,3,1
15037,15,1478044,1478044,78.6820,2324.55,0.2496,10.13,-3.5495,19,7.114090e-02,1,0,3,1
15038,16,1478208,1478208,89.8347,3545.16,-0.1467,-9.08,1.3652,32,5.673690e+01,0,0,2,1
15039,16,1478208,1478208,89.6334,3570.36,-0.3071,-19.14,-0.8191,44,1.000000e+02,0,1,2,1
15040,0,1478372,1478372,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
15041,1,1478536,1478536,7.1084,541.74,3.5917,33.94,1.9113,23,4.972000e-05,1,1,2,1
15042,1,1478536,1478536,13.3211,1407.61,2.7000,66.31,11.4676,18,1.792310e-02,1,1,2,1
15043,2,1478700,1478700,13.1676,1409.47,2.6960,66.30,11.4676,20,2.251170e-02,0,1,1,1
15044,3,1478864,1478864,21.1985,10197.30,6.2085,1102.80,7.0990,21,1.000000e+02,0,1,3,1
15045,3,1478864,1478864,22.3961,10196.40,6.3039,1119.58,7.3720,21,1.000000e+02,0,2,3,1
15046,3,1478864,1478864,19.2086,1770.84,15.9929,487.90,3.1672,20,1.951910e-02,0,3,3,1
15047,4,1479028,1479028,25.4259,1386.59,-0.2352,-5.69,0.8191,9,1.346990e+01,1,0,13,1
15048,4,1479028,1479028,26.0860,1438.65,-0.8129,-20.41,-1.6382,10,1.083640e+01,1,0,13,1
15049,4,1479028,1479028,26.2849,1457.88,-0.7618,-19.38,2.7304,23,1.576520e+00,0,0,13,1
15050,4,1479028,1479028,24.6459,3931.13,-0.4164,-28.57,-0.5461,57,1.000000e+02,0,0,13,1
15051,4,1479028,1479028,24.1012,5879.24,-0.6665,-68.39,2.4573,15,1.000000e+02,0,0,13,1
15052,4,1479028,1479028,23.4219,5922.83,-0.6660,-68.84,0.8191,18,1.000000e+02,0,0,13,1
15053,4,1479028,1479028,20.9262,7459.99,0.3485,45.38,-0.8191,26,1.000000e+02,0,0,13,1
15054,4,1479028,1479028,25.0459,8005.25,0.3300,46.11,-2.7304,20,1.000000e+02,0,0,13,1
15055,4,1479028,1479028,26.0561,8971.43,0.2947,46.14,41.7747,18,1.000000e+02,0,0,13,1
15056,4,1479028,1479028,28.2659,9709.24,-0.1482,-25.11,1.9113,21,1.000000e+02,0,0,13,1
15057,4,1479028,1479028,24.3413,11438.80,0.9138,182.43,0.5461,50,1.000000e+02,0,0,13,1
15058,4,1479028,1479028,21.7827,10193.40,6.3591,1129.01,7.9181,23,1.000000e+02,0,1,13,1
15059,4,1479028,1479028,20.9659,10192.00,5.4067,960.33,8.1911,20,1.000000e+02,0,2,13,1
15060,5,1479192,1479192,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
15061,6,1479356,1479356,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
15062,7,1479520,1479520,40.5528,310.02,-3.4954,-18.90,8.7372,16,2.093940e-06,1,0,12,1
15063,7,1479520,1479520,40.3192,1677.25,0.0539,1.58,-0.8191,26,3.849880e+01,1,0,12,1
15064,7,1479520,1479520,40.7258,2203.34,-0.7595,-29.21,-21.0239,5,1.455990e-01,1,0,12,1
15065,7,1479520,1479520,39.1989,2307.04,-0.1106,-4.45,-12.5597,11,3.342370e-01,1,0,12,1
15066,7,1479520,1479520,39.9141,1769.42,-0.9569,-29.55,-6.0068,15,1.109770e+00,0,0,12,1
15067,7,1479520,1479520,39.8255,2538.74,-0.2204,-9.76,-0.5461,58,1.000000e+02,0,0,12,1
15068,7,1479520,1479520,39.2996,7238.26,-0.8268,-104.45,1.3652,19,7.163860e+01,0,0,12,1
15069,7,1479520,1479520,36.0251,9112.53,-0.1841,-29.28,-4.3686,16,1.000000e+02,0,0,12,1
15070,7,1479520,1479520,39.3738,9499.74,0.2488,41.24,1.0921,23,1.000000e+02,0,0,12,1
15071,7,1479520,1479520,37.8394,10221.70,-0.1559,-27.81,-0.5461,52,1.000000e+02,0,0,12,1
15072,7,1479520,1479520,38.7451,10718.80,-0.0683,-12.77,-0.5461,54,1.000000e+02,0,0,12,1
15073,7,1479520,1479520,38.9238,5636.43,2.7074,266.24,-4.6416,20,2.211670e+01,0,1,12,1
15074,8,1479684,1479684,44.6351,616.81,-3.0575,-32.90,1.6382,27,5.815200e-04,1,0,9,1
15075,8,1479684,1479684,48.2100,788.26,-1.7712,-24.36,-1.0921,40,1.497160e-02,1,0,9,1
15076,8,1479684,1479684,44.4656,1247.10,-0.5787,-12.60,0.8191,51,2.105790e+00,1,0,9,1
15077,8,1479684,1479684,42.5689,1827.63,-1.1426,-36.45,3.5495,20,4.248140e-02,1,0,9,1
15078,8,1479684,1479684,44.0717,1915.91,-0.8853,-29.60,-0.8191,44,1.907410e+01,1,0,9,1
15079,8,1479684,1479684,47.9668,5082.12,0.2200,19.52,0.5461,54,1.000000e+02,0,0,9,1
15080,8,1479684,1479684,43.1481,5279.37,1.0368,95.53,-6.2798,20,2.909530e+01,0,0,9,1
15081,8,1479684,1479684,44.5197,10773.70,-0.2543,-47.81,0.8191,24,1.000000e+02,0,0,9,1
15082,8,1479684,1479684,48.1260,10891.30,0.5490,104.36,-63.8907,8,5.121620e+01,0,0,9,1
15083,9,1479848,1479848,50.8098,456.03,-3.2002,-25.46,-1.3652,41,2.034370e-03,1,0,3,1
15084,9,1479848,1479848,48.3799,736.91,-2.2603,-29.06,-9.2833,24,3.091060e-04,1,0,3,1
15085,9,1479848,1479848,48.0653,781.99,-1.7255,-23.55,1.0921,39,8.765990e-03,1,0,3,1
15086,10,1480012,1480012,54.6265,2323.47,-0.3447,-13.98,-3.5495,20,1.073090e-01,1,0,3,1
15087,10,1480012,1480012,55.9873,2280.27,5.9622,236.86,-1.6382,16,3.863660e-02,1,1,3,1
15088,10,1480012,1480012,55.8246,11247.00,3.3190,651.15,-30.8532,14,1.000000e+02,0,1,3,1
15089,11,1480176,1480176,60.7115,378.01,-4.5015,-29.67,-4.0956,28,5.877670e-05,1,0,5,1
15090,11,1480176,1480176,60.2916,2418.61,6.3765,268.62,-3.2764,22,1.048570e-01,0,1,5,1
15091,11,1480176,1480176,58.0008,3714.92,2.6743,173.34,-8.1911,14,9.731710e-01,0,1,5,1
15092,11,1480176,1480176,59.2828,528.74,9.5600,87.81,-30.0341,16,9.129100e-06,1,2,5,1
15093,11,1480176,1480176,60.0864,4338.07,10.2452,771.57,27.5767,30,1.000000e+02,0,2,5,1
15094,12,1480340,1480340,67.7663,3330.21,0.1498,8.71,1.0921,41,1.000000e+02,0,0,2,1
15095,12,1480340,1480340,63.5095,1056.01,10.1717,186.49,-8.4642,18,2.527370e-04,1,2,2,1
15096,13,1480504,1480504,69.7924,475.25,-4.5318,-37.55,1.0921,41,2.966880e-03,1,0,3,1
15097,13,1480504,1480504,69.3730,1002.73,11.1895,194.58,-3.0034,15,1.281720e-04,1,2,3,1
15098,13,1480504,1480504,72.9023,5675.51,18.3634,1788.03,104.0660,18,1.999350e+01,0,4,3,1
15099,14,1480668,1480668,73.9190,5182.71,6.7421,608.46,9.8293,16,7.708240e+00,0,2,2,1
15100,14,1480668,1480668,72.6695,5699.28,18.6127,1819.04,104.0660,18,1.934050e+01,0,4,2,1
15101,15,1480832,1480832,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
15102,16,1480996,1480996,86.4441,4793.57,7.1615,597.60,-5.1877,20,7.656390e+00,0,2,1,1
15103,0,1481160,1481160,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
15104,1,1481324,1481324,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
15105,2,1481488,1481488,14.5828,1457.50,-0.5372,-13.66,2.1843,16,3.600480e+01,1,0,3,1
15106,2,1481488,1481488,14.5574,1534.79,-0.6384,-17.10,-0.8191,25,1.000000e+02,1,0,3,1
15107,2,1481488,1481488,13.2769,1367.49,3.6846,87.88,12.0136,22,4.964800e-02,1,1,3,1
15108,3,1481652,1481652,21.2426,10150.80,6.4713,1144.06,20.4778,27,1.000000e+02,0,1,2,1
15109,3,1481652,1481652,18.5847,2274.32,8.6885,343.56,7.3720,15,2.739450e-02,1,2,2,1
15110,4,1481816,1481816,27.5367,1293.33,-0.5826,-13.15,20.4778,5,2.799240e-01,1,0,13,1
15111,4,1481816,1481816,26.6026,1434.44,-0.7593,-19.01,2.7304,24,1.525630e+00,0,0,13,1
15112,4,1481816,1481816,26.4726,1458.13,-0.8117,-20.66,1.6382,25,2.482550e+00,0,0,13,1
15113,4,1481816,1481816,24.6468,3931.13,-0.4115,-28.24,-0.5461,57,1.000000e+02,0,0,13,1
15114,4,1481816,1481816,23.6101,5878.54,0.1954,20.05,-1.0921,20,1.000000e+02,0,0,13,1
15115,4,1481816,1481816,23.4084,5895.41,-0.5631,-57.94,-1.6382,24,1.000000e+02,0,0,13,1
15116,4,1481816,1481816,27.7126,7121.94,-0.1857,-23.09,38.4982,10,1.000000e+02,0,0,13,1
15117,4,1481816,1481816,22.6531,7625.51,0.3704,49.30,-4.6416,11,1.000000e+02,0,0,13,1
15118,4,1481816,1481816,25.0598,8005.23,0.2816,39.34,2.7304,21,1.000000e+02,0,0,13,1
15119,4,1481816,1481816,23.8392,8970.12,0.9306,145.68,-9.5563,10,1.000000e+02,0,0,13,1
15120,4,1481816,1481816,26.8597,9666.25,-1.0379,-175.10,-19.9317,7,6.084100e+01,0,0,13,1
15121,4,1481816,1481816,28.3609,9710.05,0.1585,26.85,-1.9113,21,1.000000e+02,0,0,13,1
15122,4,1481816,1481816,24.3981,11438.90,0.9330,186.27,-0.5461,50,1.000000e+02,0,0,13,1
15123,5,1481980,1481980,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
15124,6,1482144,1482144,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
15125,7,1482308,1482308,37.6328,979.38,-1.5141,-25.88,-1.0921,42,5.466150e-02,1,0,23,1
15126,7,1482308,1482308,36.6259,1487.88,-0.9866,-25.62,-46.6893,0,4.873970e-03,1,0,23,1
15127,7,1482308,1482308,36.8213,1507.94,-0.8233,-21.67,22.9351,9,6.298230e-02,1,0,23,1
15128,7,1482308,1482308,40.6214,1723.18,-1.1186,-33.64,-2.4573,26,8.431650e-01,1,0,23,1
15129,7,1482308,1482308,39.7436,1777.65,-1.0075,-31.26,-65.5289,7,1.031920e-01,1,0,23,1
15130,7,1482308,1482308,40.0315,2210.71,-0.7698,-29.70,47.2354,3,8.482840e-02,1,0,23,1
15131,7,1482308,1482308,40.6582,2254.00,-1.0757,-42.32,38.7713,6,7.087820e-02,1,0,23,1
15132,7,1482308,1482308,38.0953,2301.52,-1.0247,-41.16,64.1637,5,6.058130e-02,1,0,23,1
15133,7,1482308,1482308,39.2109,1793.24,-1.1273,-35.28,18.0204,8,1.795410e-01,0,0,23,1
15134,7,1482308,1482308,39.8802,2538.83,-0.2008,-8.90,0.5461,58,1.000000e+02,0,0,23,1
15135,7,1482308,1482308,39.7289,2634.07,-0.3340,-15.36,-22.9351,13,2.329520e+01,0,0,23,1
15136,7,1482308,1482308,41.3801,5152.79,-0.1401,-12.60,0.8191,13,1.000000e+02,0,0,23,1
15137,7,1482308,1482308,38.3971,5203.44,-0.2513,-22.83,0.8191,13,1.000000e+02,0,0,23,1
15138,7,1482308,1482308,39.0597,5967.24,-1.0048,-104.64,-62.5255,7,1.017770e+01,0,0,23,1
15139,7,1482308,1482308,38.2305,7239.05,0.1024,12.94,-0.8191,17,6.660960e+01,0,0,23,1
15140,7,1482308,1482308,36.2583,9112.52,-0.0577,-9.18,-1.9113,22,1.000000e+02,0,0,23,1
15141,7,1482308,1482308,39.4936,9499.37,0.2938,48.71,1.0921,20,1.000000e+02,0,0,23,1
15142,7,1482308,1482308,37.8376,10220.80,-0.1455,-25.96,-0.5461,53,1.000000e+02,0,0,23,1
15143,7,1482308,1482308,38.7428,10718.60,-0.0647,-12.11,-0.5461,53,1.000000e+02,0,0,23,1
15144,7,1482308,1482308,41.3330,11413.70,-0.3354,-66.81,-1.0921,15,1.000000e+02,0,0,23,1
15145,7,1482308,1482308,37.9080,11467.10,0.2403,48.10,-4.3686,16,1.000000e+02,0,0,23,1
15146,7,1482308,1482308,39.5744,5656.02,2.1575,212.93,-5.7338,24,6.588680e+01,0,1,23,1
15147,7,1482308,1482308,40.4113,2358.21,24.2303,967.82,11.5172,30,2.427750e+00,0,5,23,1
15148,8,1482472,1482472,44.6111,616.68,-3.0727,-33.06,4.0956,26,3.492390e-04,1,0,16,1
15149,8,1482472,1482472,46.4545,700.41,-1.5169,-18.54,13.1058,17,4.563940e-05,1,0,16,1
15150,8,1482472,1482472,45.5741,808.05,-2.0176,-28.45,-1.0921,34,3.200270e-03,1,0,16,1
15151,8,1482472,1482472,44.0994,1246.39,-1.0570,-22.99,-0.8191,53,3.877360e+00,1,0,16,1
15152,8,1482472,1482472,42.0898,1776.65,-1.6932,-52.50,-55.1535,9,7.005180e-03,1,0,16,1
15153,8,1482472,1482472,43.9276,1912.96,-0.7337,-24.50,-0.8191,47,1.971070e+01,1,0,16,1
15154,8,1482472,1482472,41.7545,1967.34,-2.7919,-95.83,37.4061,7,5.550770e-03,1,0,16,1
15155,8,1482472,1482472,48.5673,1994.30,-0.8472,-29.49,-1.0921,32,1.452680e+00,1,0,16,1
15156,8,1482472,1482472,41.7696,2203.87,-1.3723,-52.78,-58.4299,10,1.476260e-02,1,0,16,1
15157,8,1482472,1482472,43.0639,2329.40,-0.3840,-15.61,1.0921,28,1.602380e+00,1,0,16,1
15158,8,1482472,1482472,46.5166,4289.06,-1.3835,-103.55,24.8464,11,1.309130e+00,0,0,16,1
15159,8,1482472,1482472,44.0499,4529.64,-2.3830,-188.34,38.4982,9,1.363400e+00,0,0,16,1
15160,8,1482472,1482472,46.8036,5153.79,-0.5787,-52.05,-1.3652,20,1.716540e+01,0,0,16,1
15161,8,1482472,1482472,43.6408,5296.71,1.4423,133.32,-3.5495,22,5.225790e+01,0,0,16,1
15162,8,1482472,1482472,44.2620,10770.90,-0.4522,-85.02,-0.8191,23,1.000000e+02,0,0,16,1
15163,8,1482472,1482472,45.2658,10815.90,-0.4042,-76.31,1.3652,21,1.000000e+02,0,0,16,1
15164,9,1482636,1482636,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
15165,10,1482800,1482800,55.0873,935.72,-1.6428,-26.83,0.8191,52,1.151230e+00,1,0,2,1
15166,10,1482800,1482800,52.8149,1003.61,-1.4941,-26.17,1.0921,38,4.165160e-02,1,0,2,1
15167,11,1482964,1482964,59.0489,376.41,-4.2109,-27.64,3.8225,27,3.960370e-05,1,0,3,1
15168,11,1482964,1482964,60.2342,719.49,-2.4070,-30.22,0.8191,48,3.405260e-02,1,0,3,1
15169,11,1482964,1482964,59.9363,3859.40,10.3597,694.03,25.3924,36,1.000000e+02,0,2,3,1
15170,12,1483128,1483128,66.2719,3571.07,0.3948,24.61,-4.6416,23,1.050560e+01,0,0,2,1
15171,12,1483128,1483128,64.6034,1078.03,8.7435,163.87,-9.0102,19,4.207560e-04,1,2,2,1
15172,13,1483292,1483292,70.6604,2609.76,8.2077,372.58,-1.3652,20,2.003570e-01,0,2,1,1
15173,14,1483456,1483456,77.8877,2054.34,-1.2251,-43.92,1.3652,30,3.495540e-01,1,0,2,1
15174,14,1483456,1483456,77.0150,5202.29,8.5100,769.85,-9.2833,14,3.844370e+00,0,2,2,1
15175,15,1483620,1483620,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
15176,16,1483784,1483784,86.4867,3547.67,-0.2225,-13.78,-1.0921,37,1.000000e+02,0,1,2,1
15177,16,1483784,1483784,86.2205,4817.05,7.7869,652.66,-5.1877,18,7.075290e+00,0,2,2,1
15178,0,1483948,1483948,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
15179,1,1484112,1484112,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
15180,2,1484276,1484276,13.7093,1337.55,3.9367,91.83,12.0136,28,3.806630e-02,1,1,2,1
15181,2,1484276,1484276,16.0340,10696.50,7.6500,1423.93,-60.8873,13,1.000000e+02,0,2,2,1
15182,3,1484440,1484440,17.8652,905.97,8.4977,133.87,2.4573,16,9.528290e-05,1,2,2,1
15183,3,1484440,1484440,20.9407,10077.60,6.5092,1142.42,33.0375,16,1.000000e+02,0,2,2,1
15184,4,1484604,1484604,26.8459,1200.08,-1.4234,-29.81,-0.8191,31,7.952220e-01,1,0,10,1
15185,4,1484604,1484604,22.6157,1316.76,-2.0430,-46.94,0.8191,19,6.984400e-01,1,0,10,1
15186,4,1484604,1484604,26.3495,1443.30,-1.0671,-26.88,1.9113,22,6.612730e+00,1,0,10,1
15187,4,1484604,1484604,26.6009,2513.44,-0.5743,-25.19,-22.3890,15,4.138430e+00,0,0,10,1
15188,4,1484604,1484604,27.5571,2585.41,-0.3231,-14.58,-51.0579,8,4.893860e-01,0,0,10,1
15189,4,1484604,1484604,24.6476,3931.11,-0.4199,-28.81,-0.5461,58,1.000000e+02,0,0,10,1
15190,4,1484604,1484604,28.1468,7108.16,-0.8927,-110.74,-66.8941,5,1.000000e+02,0,0,10,1
15191,4,1484604,1484604,25.7733,8104.24,0.7103,100.47,64.1637,9,1.000000e+02,0,0,10,1
15192,4,1484604,1484604,28.2859,9710.64,-0.3368,-57.08,-1.9113,22,1.000000e+02,0,0,10,1
15193,4,1484604,1484604,24.3881,11438.80,0.9630,192.24,0.5461,49,1.000000e+02,0,0,10,1
15194,5,1484768,1484768,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
15195,6,1484932,1484932,36.1013,11565.10,0.4818,97.25,-4.0956,21,1.000000e+02,0,0,1,1
15196,7,1485096,1485096,38.7822,549.76,1.1023,10.58,-40.6825,7,3.011080e-06,1,0,18,1
15197,7,1485096,1485096,36.4791,1435.21,-1.0699,-26.80,2.4573,30,7.358340e-01,1,0,18,1
15198,7,1485096,1485096,36.9659,1508.42,-0.6733,-17.72,14.7440,10,4.442450e-02,1,0,18,1
15199,7,1485096,1485096,41.1285,1726.41,-1.2245,-36.89,1.3652,30,1.621190e+00,1,0,18,1
15200,7,1485096,1485096,39.8498,1776.64,-0.9218,-28.58,-37.4061,11,8.709740e-02,1,0,18,1
15201,7,1485096,1485096,41.3883,1825.09,-1.1276,-35.91,-4.6416,14,6.123790e-02,1,0,18,1
15202,7,1485096,1485096,40.7239,2205.78,-0.6693,-25.76,23.7542,11,2.649130e-01,1,0,18,1
15203,7,1485096,1485096,39.3387,2297.84,-0.6702,-26.88,27.0307,8,1.195480e-01,1,0,18,1
15204,7,1485096,1485096,40.8947,1769.63,-0.8627,-26.65,-15.8361,14,6.782150e-01,0,0,18,1
15205,7,1485096,1485096,39.8378,2538.74,-0.1996,-8.84,0.5461,59,1.000000e+02,0,0,18,1
15206,7,1485096,1485096,41.6442,5223.26,-0.1682,-15.33,0.8191,18,1.000000e+02,0,0,18,1
15207,7,1485096,1485096,38.4238,7222.75,-0.3262,-41.12,-1.3652,18,5.981290e+01,0,0,18,1
15208,7,1485096,1485096,36.2656,9112.96,-0.0845,-13.44,-1.9113,21,1.000000e+02,0,0,18,1
15209,7,1485096,1485096,39.3314,9499.89,0.3265,54.14,1.0921,23,1.000000e+02,0,0,18,1
15210,7,1485096,1485096,37.8225,10221.40,-0.1318,-23.51,-0.5461,53,1.000000e+02,0,0,18,1
15211,7,1485096,1485096,38.7752,10718.50,-0.0792,-14.82,0.5461,53,1.000000e+02,0,0,18,1
15212,7,1485096,1485096,40.3934,11418.80,-0.9906,-197.41,-1.0921,17,1.000000e+02,0,0,18,1
15213,7,1485096,1485096,39.0930,5441.52,3.2856,311.87,17.4744,14,5.049160e+00,0,1,18,1
15214,8,1485260,1485260,44.4501,600.85,-2.9976,-31.42,7.9181,27,3.866900e-04,1,0,17,1
15215,8,1485260,1485260,44.2187,618.23,-2.9031,-31.31,-2.7304,28,5.173280e-04,1,0,17,1
15216,8,1485260,1485260,46.8030,767.20,-1.6894,-22.62,-0.8191,45,6.968040e-02,1,0,17,1
15217,8,1485260,1485260,47.3202,786.12,-1.6506,-22.64,-1.0921,40,8.317930e-03,1,0,17,1
15218,8,1485260,1485260,44.2490,1047.58,-1.3167,-24.07,-2.1843,16,9.348120e-04,1,0,17,1
15219,8,1485260,1485260,45.1266,1266.13,-1.0910,-24.11,0.8191,46,1.136430e+00,1,0,17,1
15220,8,1485260,1485260,43.7305,1914.73,-0.7607,-25.42,0.8191,47,3.019200e+01,1,0,17,1
15221,8,1485260,1485260,47.6489,1967.15,-0.3237,-11.11,-33.8566,9,1.062300e-02,1,0,17,1
15222,8,1485260,1485260,45.2850,2043.07,-0.7089,-25.28,-33.5836,10,1.147380e-02,1,0,17,1
15223,8,1485260,1485260,44.2066,2085.82,-0.1090,-3.97,-57.3378,13,7.926600e-03,1,0,17,1
15224,8,1485260,1485260,47.6903,2110.87,-1.8969,-69.87,-19.6587,10,7.591650e-03,1,0,17,1
15225,8,1485260,1485260,44.4125,2328.27,-0.4124,-16.76,1.0921,38,9.870550e+00,1,0,17,1
15226,8,1485260,1485260,43.5261,4482.06,1.6522,129.22,21.0239,6,7.459960e-01,0,0,17,1
15227,8,1485260,1485260,47.3788,4988.25,-0.1926,-16.77,-0.8191,37,1.000000e+02,0,0,17,1
15228,8,1485260,1485260,47.1271,5080.81,-0.1373,-12.18,-0.5461,56,1.000000e+02,0,0,17,1
15229,8,1485260,1485260,43.4478,5152.84,-0.2548,-22.91,0.5461,56,1.000000e+02,0,0,17,1
15230,8,1485260,1485260,44.5705,10772.00,-0.3982,-74.86,0.8191,23,1.000000e+02,0,0,17,1
15231,9,1485424,1485424,48.4084,1005.23,6.1192,107.16,-2.1843,18,2.206330e-04,1,1,1,1
15232,10,1485588,1485588,55.0468,2319.07,-0.8616,-34.87,-2.1843,24,3.394150e-01,1,0,3,1
15233,10,1485588,1485588,55.4530,3306.72,-0.3047,-17.58,-4.3686,23,3.936880e+00,0,0,3,1
15234,10,1485588,1485588,55.6084,1056.48,4.4031,81.11,1.6382,16,1.872250e-04,1,1,3,1
15235,11,1485752,1485752,60.9702,425.43,-3.6208,-26.87,-0.8191,45,5.301470e-03,1,0,3,1
15236,11,1485752,1485752,58.8039,525.35,-2.6094,-23.92,58.1569,10,6.329700e-06,1,0,3,1
15237,11,1485752,1485752,59.2200,3400.94,10.8587,640.69,23.2081,27,1.012380e+01,0,2,3,1
15238,12,1485916,1485916,66.4907,1102.80,10.3382,197.91,-8.4642,19,5.437370e-04,1,2,1,1
15239,13,1486080,1486080,67.4635,3593.57,-1.2018,-75.37,-5.7338,20,3.202840e+00,0,0,2,1
15240,13,1486080,1486080,71.1465,5269.44,6.8425,627.81,-1.3652,20,2.287880e+01,0,2,2,1
15241,14,1486244,1486244,77.8691,2063.02,-0.9392,-33.82,-0.8191,48,3.586330e+01,1,0,1,1
15242,15,1486408,1486408,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
15243,16,1486572,1486572,87.9020,4839.24,7.3743,621.12,-7.9181,18,7.219260e+00,0,2,1,1
