CPI序号,波位号,时间戳(ms),帧间隔(ms),目标数,有效点迹数,宽脉冲数,窄脉冲数,最小距离(m),最大距离(m),最小速度(m/s),最大速度(m/s),正高度点数,负高度点数(地杂波)
201,11,930940,164,2,2,1,1,1288.9,3929.9,-1.37,4.10,2,0
202,12,931104,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
203,13,931268,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
204,14,931432,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
205,15,931596,164,1,1,0,1,2234.4,2234.4,-0.82,-0.82,0,1
206,16,931760,164,1,1,1,0,3569.6,3569.6,1.09,1.09,0,1
207,0,931924,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
208,1,932088,164,2,2,0,2,981.5,1100.2,4.37,8.19,2,0
209,2,932252,164,1,1,0,1,1485.2,1485.2,-11.74,-11.74,1,0
210,3,932416,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
211,4,932580,164,18,18,18,0,1457.3,11439.1,-40.68,59.25,11,7
212,5,932744,164,4,4,4,0,2729.6,10140.2,5.19,17.28,4,0
213,6,932908,164,2,2,2,0,3617.7,11465.1,4.10,11.74,2,0
214,7,933072,164,14,14,9,5,1027.1,10718.8,-4.10,53.24,7,7
215,8,933236,164,4,4,2,2,1390.7,4669.9,-7.10,0.82,2,2
216,9,933400,164,2,2,1,1,2136.1,3547.2,-7.10,0.82,1,1
217,10,933564,164,3,3,2,1,1937.1,4839.9,-1.09,1.64,2,1
218,11,933728,164,3,3,1,2,1293.8,3930.5,-3.55,0.82,2,1
219,12,933892,164,3,3,3,0,3714.3,3954.0,-6.83,7.10,3,0
220,13,934056,164,1,1,1,0,2610.9,2610.9,1.37,1.37,0,1
221,14,934220,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
222,15,934384,164,2,2,1,1,2249.3,2825.2,-3.00,0.82,1,1
223,16,934548,164,1,1,1,0,2537.5,2537.5,1.37,1.37,1,0
224,0,934712,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
225,1,934876,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
226,2,935040,164,1,1,0,1,1513.6,1513.6,-11.74,-11.74,1,0
227,3,935204,164,2,2,2,0,3729.7,3730.5,11.52,11.52,2,0
228,4,935368,164,20,20,19,1,1315.5,11439.3,-66.62,67.71,12,8
229,5,935532,164,1,1,1,0,2658.2,2658.2,3.82,3.82,1,0
230,6,935696,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
231,7,935860,164,15,15,10,5,1050.5,10718.4,-59.52,69.62,3,12
232,8,936024,164,1,1,1,0,4676.5,4676.5,-5.19,-5.19,1,0
233,9,936188,164,3,3,0,3,1371.0,2140.5,-0.82,0.82,0,3
234,10,936352,164,5,5,4,1,1898.3,8561.7,-4.91,61.43,4,1
235,11,936516,164,4,4,2,2,571.2,3931.6,-57.61,3.28,3,1
236,12,936680,164,2,2,2,0,3715.1,5276.2,-5.73,3.00,2,0
237,13,936844,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
238,14,937008,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
239,15,937172,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
240,16,937336,164,2,2,1,1,1676.0,4168.2,-6.28,0.82,1,1
241,0,937500,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
242,1,937664,164,1,1,0,1,983.1,983.1,-1.09,-1.09,1,0
243,2,937828,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
244,3,937992,164,2,2,2,0,3750.8,3750.9,-17.28,-17.28,2,0
245,4,938156,164,15,15,12,3,1315.4,11439.4,-37.95,47.24,8,7
246,5,938320,164,1,1,1,0,10214.8,10214.8,4.37,4.37,1,0
247,6,938484,164,1,1,1,0,11462.9,11462.9,4.91,4.91,1,0
248,7,938648,164,17,17,10,7,549.7,10718.4,-60.89,50.24,7,10
249,8,938812,164,4,4,2,2,1124.4,4771.3,-3.55,-0.82,2,2
250,9,938976,164,2,2,0,2,1274.0,1918.1,-0.82,0.82,1,1
251,10,939140,164,2,2,0,2,1847.1,1916.5,-0.82,-0.82,0,2
252,11,939304,164,1,1,0,1,429.7,429.7,-54.61,-54.61,1,0
253,12,939468,164,1,1,0,1,1508.3,1508.3,-3.28,-3.28,1,0
254,13,939632,164,1,1,1,0,3114.1,3114.1,-10.38,-10.38,0,1
255,14,939796,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
256,15,939960,164,1,1,1,0,4410.1,4410.1,-40.41,-40.41,1,0
257,16,940124,164,1,1,1,0,2849.6,2849.6,-1.64,-1.64,0,1
258,0,940288,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
259,1,940452,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
260,2,940616,164,3,3,2,1,1536.4,3806.0,-34.55,4.91,3,0
261,3,940780,164,6,6,5,1,1174.8,5561.9,-36.20,7.65,5,1
262,4,940944,164,16,16,15,1,1339.9,11439.2,-64.16,69.08,6,10
263,5,941108,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
264,6,941272,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
265,7,941436,164,12,12,8,4,550.2,10718.0,-14.74,52.97,6,6
266,8,941600,164,3,3,2,1,1122.8,4701.6,-4.91,5.46,2,1
267,9,941764,164,3,3,2,1,1920.5,4074.4,-3.55,1.64,1,2
268,10,941928,164,4,4,3,1,686.9,4815.1,-3.00,1.91,3,1
269,11,942092,164,4,4,1,3,576.0,3931.1,-6.83,64.44,4,0
270,12,942256,164,1,1,1,0,3952.9,3952.9,5.46,5.46,1,0
271,13,942420,164,2,2,2,0,2514.7,5273.5,6.83,11.47,2,0
272,14,942584,164,2,2,1,1,1560.8,4888.4,-3.55,1.09,1,1
273,15,942748,164,1,1,0,1,1535.8,1535.8,0.82,0.82,0,1
274,16,942912,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
275,0,943076,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
276,1,943240,164,1,1,0,1,955.1,955.1,1.37,1.37,1,0
277,2,943404,164,3,3,2,1,1623.8,3924.6,-51.83,-12.01,3,0
278,3,943568,164,2,2,1,1,1056.1,3940.0,-51.83,4.91,2,0
279,4,943732,164,16,16,16,0,1457.8,12689.0,-67.71,54.33,8,8
280,5,943896,164,1,1,1,0,2705.2,2705.2,-9.83,-9.83,1,0
281,6,944060,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
